Day,Month,Year,Year,TLmm,Lastrecord
21,02,2017,2017,245,116
23,02,2016,2016,243,87
27,02,2015,2015,242,86
17,02,2015,2015,241,52
09,03,2015,2015,239,89
23,02,2016,2016,227,56
22,02,2016,2016,225,96
17,02,2015,2015,225,60
07,02,2017,2017,220,94
08,02,2017,2017,220,116
20,02,2015,2015,219,122
17,02,2015,2015,218,107
19,02,2016,2016,218,81
21,02,2017,2017,215,106
17,02,2015,2015,215,100
10,02,2017,2017,215,41
21,02,2017,2017,214,77
13,03,2015,2015,214,114
13,02,2017,2017,214,66
10,03,2015,2015,214,108
21,02,2017,2017,213,77
13,03,2015,2015,213,114
21,02,2017,2017,212,66
07,02,2017,2017,212,94
04,03,2016,2016,212,82
10,03,2015,2015,212,104
07,02,2017,2017,211,68
13,02,2017,2017,211,83
10,03,2015,2015,211,89
05,03,2015,2015,210,108
17,02,2016,2016,210,95
14,02,2017,2017,210,61
16,02,2016,2016,209,95
09,03,2016,2016,209,108
13,02,2017,2017,209,108
05,03,2015,2015,209,120
04,03,2016,2016,207,84
13,03,2015,2015,206,76
07,02,2017,2017,205,125
13,03,2015,2015,205,72
09,03,2016,2016,205,114
